codigo;sistema;componente
2000;AR CONDICIONADO;COMPRESSOR (A/C)
2001;AR CONDICIONADO;POLIA COMPRESSOR (A/C)
2002;AR CONDICIONADO;TENSOR (A/C)
2003;AR CONDICIONADO;CONDENSADOR (A/C)
2004;AR CONDICIONADO;MOTOR DO VENTILADOR (A/C)
2005;AR CONDICIONADO;CAIXA EVAPORADORA (A/C)
2006;AR CONDICIONADO;CORREIA (A/C)
2007;AR CONDICIONADO;FILTRO DE AR (A/C)
2008;AR CONDICIONADO;FILTRO SECADOR (A/C)
2009;AR CONDICIONADO;FIXAÇÃO (A/C)
2010;AR CONDICIONADO;CHICOTE (A/C)
2011;AR CONDICIONADO;MANGUEIRAS (A/C)
2012;AR CONDICIONADO;TUBULAÇÕES (A/C)
2013;AR CONDICIONADO;CONEXÃO (A/C)
2014;AR CONDICIONADO;VÁLVULA EXPANSÃO (A/C)
2015;AR CONDICIONADO;PRESSOSTATO (A/C)
2016;AR CONDICIONADO;RESISTOR/DIODO (A/C)
2017;AR CONDICIONADO;TERMOSTATO (A/C)
2018;AR CONDICIONADO;BOTÃO (A/C)
2019;AR CONDICIONADO;GÁS (A/C)
2020;AR CONDICIONADO;VEDAÇÃO (A/C)
12028;AR CONDICIONADO;LIMPEZA CAIXA EVAPORADORA (A/C)
12010;ARREFECIMENTO;MANGUEIRA (TROCADOR DE CALOR)
12026;ARREFECIMENTO;MANGUEIRA (RADIADOR/EXPANSÃO)
12079;ARREFECIMENTO;RADIADOR
12080;ARREFECIMENTO;MANGUEIRAS (AR)
12081;ARREFECIMENTO;VEDAÇOES (AR)
12082;ARREFECIMENTO;TUBOS (AR)
12083;ARREFECIMENTO;BOMBAS (AR)
12084;ARREFECIMENTO;MOTORES (AR)
12085;ARREFECIMENTO;VALVULAS (AR)
12086;ARREFECIMENTO;TROCADOR DE CALOR
12087;ARREFECIMENTO;CUBO DE HÉLICE
12088;ARREFECIMENTO;COMPLEMENTO (AR)
12089;ARREFECIMENTO;CONEXÕES (AR)
11000;COMBATE INCÊNDIO;MANGUEIRA - (COMBATE INCÊNDIO)
11001;COMBATE INCÊNDIO;CONEXÃO - (COMBATE INCÊNDIO)
11002;COMBATE INCÊNDIO;VEDAÇÃO - (COMBATE INCÊNDIO)
11003;COMBATE INCÊNDIO;FIXAÇÃO - (COMBATE INCÊNDIO)
11004;COMBATE INCÊNDIO;VÁLVULA RETENÇÃO - (COMBATE INCÊNDIO)
11005;COMBATE INCÊNDIO;LACRE
11006;COMBATE INCÊNDIO;ACIONADOR MANUAL
11007;COMBATE INCÊNDIO;CABO/FIAÇÃO - (COMBATE INCÊNDIO)
11008;COMBATE INCÊNDIO;INICIADOR AUTOMÁTICO
11009;COMBATE INCÊNDIO;ATUADOR ESCRAVO
11010;COMBATE INCÊNDIO;PAINEL - (COMBATE INCÊNDIO)
